ID,Whole,Left,Right,WholeCC,LeftCC,RightCC
0000,0.968908,0.969673,0.967979,0.969046,0.969749,0.968194
0001,0.894752,0.906492,0.879711,0.89966,0.911505,0.884487
0002,0.966867,0.968294,0.965141,0.967401,0.968959,0.965518
0003,0.936517,0.947096,0.923782,0.942031,0.956593,0.92466
0004,0.96249,0.964922,0.959579,0.962604,0.965131,0.959579
0005,0.916547,0.921209,0.910312,0.936064,0.941,0.929465
0006,0.959306,0.96077,0.957574,0.959427,0.96077,0.957837
0007,0.966666,0.966451,0.966918,0.966672,0.966462,0.966918
0008,0.929338,0.937459,0.919189,0.938046,0.945542,0.928662
0009,0.96787,0.969722,0.965704,0.96787,0.969722,0.965704
0010,0.966778,0.968392,0.965057,0.967242,0.96904,0.965324
0011,0.964345,0.966161,0.962395,0.96597,0.968592,0.963159
0012,0.961128,0.962791,0.959225,0.961128,0.962791,0.959225
0013,0.971576,0.970596,0.972588,0.971624,0.970635,0.972644
0014,0.973562,0.973481,0.973655,0.973736,0.973807,0.973655
0015,0.967291,0.966549,0.968192,0.967291,0.966549,0.968192
0016,0.970484,0.971581,0.969299,0.970484,0.971581,0.969299
0017,0.966209,0.96778,0.964341,0.966209,0.96778,0.964341
0018,0.962254,0.965098,0.959051,0.962254,0.965098,0.959051
0019,0.962799,0.967752,0.956762,0.962799,0.967752,0.956762
0020,0.960749,0.965275,0.955801,0.964465,0.971847,0.956444
0021,0.952725,0.954344,0.950983,0.952697,0.954344,0.950924
0022,0.961005,0.962663,0.959105,0.961005,0.962663,0.959105
0023,0.960942,0.960957,0.960926,0.960942,0.960957,0.960926
0024,0.963483,0.964095,0.96274,0.963483,0.964095,0.96274
0025,0.966377,0.966492,0.966246,0.966377,0.966492,0.966246
0026,0.96997,0.971276,0.968314,0.96997,0.971276,0.968314
0027,0.968801,0.972179,0.964915,0.968801,0.972179,0.964915
0028,0.959614,0.966337,0.951767,0.959605,0.966337,0.951747
0029,0.963553,0.963492,0.963622,0.963572,0.963528,0.963622
0030,0.954671,0.960596,0.947036,0.956626,0.961259,0.950635
0031,0.933206,0.94842,0.911731,0.939037,0.953261,0.918902
0032,0.964029,0.967245,0.959994,0.964293,0.967431,0.960355
0033,0.924772,0.94191,0.900446,0.934039,0.951801,0.908856
0034,0.960674,0.964657,0.955727,0.961686,0.965309,0.957181
0035,0.964525,0.967815,0.960776,0.964525,0.967815,0.960776
0036,0.960171,0.962967,0.956291,0.963619,0.967499,0.958248
0037,0.968341,0.971053,0.965302,0.968429,0.971053,0.965488
0038,0.948179,0.951902,0.942915,0.954835,0.960167,0.947326
0039,0.968156,0.971287,0.964643,0.968196,0.971298,0.964716
0040,0.968179,0.970558,0.965324,0.968945,0.971714,0.965625
