Epoch,Training,Validation
1,0.5305,0.5087
2,0.5372,0.5071
3,0.5902,0.5018
4,0.7569,0.5017
5,0.8448,0.5830
6,0.8755,0.8271
7,0.8899,0.8671
8,0.8981,0.8532
9,0.9065,0.8630
10,0.9105,0.8487
11,0.9166,0.8290
12,0.9209,0.8571
13,0.9241,0.8713
14,0.9262,0.8526
15,0.9303,0.8218
16,0.9305,0.8300
17,0.9303,0.8460
18,0.9339,0.8244
19,0.9351,0.8264
20,0.9366,0.8500
21,0.9354,0.8684
22,0.9379,0.8737
23,0.9379,0.8698
24,0.9394,0.8775
25,0.9395,0.8763
26,0.9409,0.8682
27,0.9413,0.8688
28,0.9409,0.8729
29,0.9420,0.8639
30,0.9441,0.8809
31,0.9442,0.8953
32,0.9445,0.8835
33,0.9445,0.8870
34,0.9444,0.8847
35,0.9456,0.8971
36,0.9453,0.9052
37,0.9463,0.8949
38,0.9450,0.9053
39,0.9466,0.8970
40,0.9481,0.9087
41,0.9478,0.9007
42,0.9472,0.8836
43,0.9483,0.8914
44,0.9466,0.8901
45,0.9486,0.9156
46,0.9488,0.8964
47,0.9505,0.8906
48,0.9495,0.8980
49,0.9493,0.8971
50,0.9497,0.9163
51,0.9496,0.9060
52,0.9508,0.9020
53,0.9506,0.9066
54,0.9524,0.9062
55,0.9517,0.9135
56,0.9520,0.9048
57,0.9510,0.9032
58,0.9522,0.9074
59,0.9521,0.9225
60,0.9521,0.9159
61,0.9530,0.9075
62,0.9526,0.9082
63,0.9520,0.9070
64,0.9529,0.9227
65,0.9532,0.9216
66,0.9539,0.9111
67,0.9532,0.9085
68,0.9541,0.9019
69,0.9545,0.9248
70,0.9541,0.9067
71,0.9544,0.9151
72,0.9546,0.9134
73,0.9541,0.9098
74,0.9543,0.9240
75,0.9553,0.9162
76,0.9545,0.9072
77,0.9548,0.9086
78,0.9533,0.8975
79,0.9561,0.9056
80,0.9557,0.8917
81,0.9546,0.8896
82,0.9564,0.8678
83,0.9554,0.9116
84,0.9552,0.8766
85,0.9559,0.8784
86,0.9559,0.8953
87,0.9569,0.8976
88,0.9556,0.9163
89,0.9566,0.9117
90,0.9567,0.9039
91,0.9565,0.9137
92,0.9563,0.9070
93,0.9574,0.9218
94,0.9573,0.9111
95,0.9569,0.9025
96,0.9573,0.9085
97,0.9577,0.9107
98,0.9567,0.9170
99,0.9574,0.9042
100,0.9564,0.9069
101,0.9576,0.9044
102,0.9574,0.9260
103,0.9571,0.9150
104,0.9573,0.9157
105,0.9570,0.9109
106,0.9572,0.8776
107,0.9573,0.8947
108,0.9580,0.8999
109,0.9564,0.8753
110,0.9582,0.8938
111,0.9567,0.9004
112,0.9580,0.9126
113,0.9577,0.9079
114,0.9578,0.9039
115,0.9578,0.9101
116,0.9576,0.9091
117,0.9577,0.9157
118,0.9575,0.9074
119,0.9576,0.9022
120,0.9576,0.9198
121,0.9570,0.9023
122,0.9582,0.9078
123,0.9579,0.8889
124,0.9577,0.8715
125,0.9567,0.9098
126,0.9582,0.9257
127,0.9577,0.9240
128,0.9577,0.9127
129,0.9583,0.9044
130,0.9582,0.9081
131,0.9578,0.9237
132,0.9575,0.9194
133,0.9581,0.9160
134,0.9585,0.9192
135,0.9583,0.9133
136,0.9575,0.9212
137,0.9579,0.9115
138,0.9579,0.8900
139,0.9581,0.9065
140,0.9573,0.9125
141,0.9580,0.9169
142,0.9582,0.9114
143,0.9576,0.9073
144,0.9577,0.9058
145,0.9577,0.9037
146,0.9574,0.9058
147,0.9578,0.8926
148,0.9578,0.9059
149,0.9569,0.9055
150,0.9578,0.9217
